                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    170,                 0.0071,                0.99663,                      1,                0.55674,               0.001684,               0.001684,               0.001684
                    171,                0.01019,                0.99663,                      1,                0.55661,              0.0016345,              0.0016345,              0.0016345
                    172,                0.00716,                0.99663,                      1,                0.55682,               0.001585,               0.001585,               0.001585
                    173,                0.00801,                0.99663,                      1,                0.55659,              0.0015355,              0.0015355,              0.0015355
                    174,                0.00798,                0.99663,                      1,                0.55656,               0.001486,               0.001486,               0.001486
                    175,                0.00905,                0.99663,                      1,                0.55656,              0.0014365,              0.0014365,              0.0014365
                    176,                 0.0088,                0.99663,                      1,                0.55649,               0.001387,               0.001387,               0.001387
                    177,                0.00783,                0.99663,                      1,                0.55713,              0.0013375,              0.0013375,              0.0013375
                    178,                0.00634,                0.99663,                      1,                0.55664,               0.001288,               0.001288,               0.001288
                    179,                0.00937,                0.99663,                      1,                0.55646,              0.0012385,              0.0012385,              0.0012385
                    180,                0.00688,                0.99663,                      1,                0.55638,               0.001189,               0.001189,               0.001189
                    181,                0.00639,                0.99663,                      1,                0.55644,              0.0011395,              0.0011395,              0.0011395
                    182,                0.00722,                0.99663,                      1,                0.55669,                0.00109,                0.00109,                0.00109
                    183,                0.00751,                0.99663,                      1,                0.55654,              0.0010405,              0.0010405,              0.0010405
                    184,                0.00597,                0.99663,                      1,                0.55672,               0.000991,               0.000991,               0.000991
                    185,                0.00545,                0.99663,                      1,                0.55646,              0.0009415,              0.0009415,              0.0009415
                    186,                0.00863,                0.99663,                      1,                0.55646,               0.000892,               0.000892,               0.000892
                    187,                0.00666,                0.99663,                      1,                0.55651,              0.0008425,              0.0008425,              0.0008425
                    188,                 0.0066,                0.99663,                      1,                0.55649,               0.000793,               0.000793,               0.000793
                    189,                0.00788,                0.99663,                      1,                0.55638,              0.0007435,              0.0007435,              0.0007435
                    190,                0.00761,                0.99663,                      1,                0.55638,               0.000694,               0.000694,               0.000694
                    191,                0.00983,                0.99663,                      1,                0.55638,              0.0006445,              0.0006445,              0.0006445
                    192,                0.00602,                0.99663,                      1,                0.55695,               0.000595,               0.000595,               0.000595
                    193,                0.00482,                0.99663,                      1,                0.55636,              0.0005455,              0.0005455,              0.0005455
                    194,                0.00604,                0.99663,                      1,                0.55628,               0.000496,               0.000496,               0.000496
                    195,                 0.0054,                0.99663,                      1,                0.55659,              0.0004465,              0.0004465,              0.0004465
                    196,                0.00634,                0.99663,                      1,                0.55816,               0.000397,               0.000397,               0.000397
                    197,                0.00327,                0.99663,                      1,                0.55613,              0.0003475,              0.0003475,              0.0003475
                    198,                0.00729,                0.99663,                      1,                0.55636,               0.000298,               0.000298,               0.000298
                    199,                0.00661,                0.99663,                      1,                0.55605,              0.0002485,              0.0002485,              0.0002485
                    200,                0.00648,                0.99663,                      1,                0.55602,               0.000199,               0.000199,               0.000199
